2024-06-18 23:50:58,060 ib_async.client INFO Connecting to 192.168.1.36:4001 with clientId 35...
2024-06-18 23:50:58,664 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670f740.01.01', time=datetime.datetime(2024, 6, 18, 14, 45, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=20162.5, permId=519111201, clientId=23, orderId=1502, liquidation=0, cumQty=1.0, avgPrice=20162.5, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,669 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670f874.01.01', time=datetime.datetime(2024, 6, 18, 14, 46, 1, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=20161.25, permId=1279161246, clientId=85, orderId=1534, liquidation=0, cumQty=1.0, avgPrice=20161.25, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,671 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670fabc.01.01', time=datetime.datetime(2024, 6, 18, 14, 51, 7, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=20158.75, permId=1279161309, clientId=85, orderId=1535, liquidation=0, cumQty=1.0, avgPrice=20158.75, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,673 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670fade.01.01', time=datetime.datetime(2024, 6, 18, 14, 51, 35, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=20165.5, permId=1279161347, clientId=85, orderId=1537, liquidation=0, cumQty=1.0, avgPrice=20165.5, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,681 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670faf7.01.01', time=datetime.datetime(2024, 6, 18, 14, 51, 57, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=20163.0, permId=1279161418, clientId=85, orderId=1538, liquidation=0, cumQty=1.0, avgPrice=20163.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,685 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670fb11.01.01', time=datetime.datetime(2024, 6, 18, 14, 52, 23, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=20169.25, permId=1279161492, clientId=85, orderId=1540, liquidation=0, cumQty=1.0, avgPrice=20169.25, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,686 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670fb4b.01.01', time=datetime.datetime(2024, 6, 18, 14, 52, 45, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=20166.75, permId=1279161530, clientId=85, orderId=1541, liquidation=0, cumQty=1.0, avgPrice=20166.75, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,689 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670fba5.01.01', time=datetime.datetime(2024, 6, 18, 14, 54, 2, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=20166.5, permId=1279161653, clientId=2, orderId=1545, liquidation=0, cumQty=1.0, avgPrice=20166.5, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,694 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670fba6.01.01', time=datetime.datetime(2024, 6, 18, 14, 54, 2, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=20166.5, permId=1279161571, clientId=85, orderId=1543, liquidation=0, cumQty=1.0, avgPrice=20166.5, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,698 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670fbd6.01.01', time=datetime.datetime(2024, 6, 18, 14, 54, 58, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=20164.0, permId=1279161694, clientId=2, orderId=1546, liquidation=0, cumQty=1.0, avgPrice=20164.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
